iterations,rHole,N,nSection,width,pBack,pInlet,pOutlet
63,0.05,64.0,4,1,-3.22141741e+03,0.00000000e+00,-3.70058171e+03
64,0.05,48.0,4,3,-1.36028865e+03,0.00000000e+00,-1.79666641e+03
65,0.05,48.0,4,2,-2.10252045e+03,0.00000000e+00,-2.56125239e+03
66,0.05,96.0,4,2,-9.93305827e+02,0.00000000e+00,-1.44323706e+03
67,0.05,64.0,2,0.5,-1.36643136e+04,0.00000000e+00,-1.43353234e+04
68,0.05,96.0,2,1,-4.41278145e+03,0.00000000e+00,-5.07427127e+03
69,0.05,96.0,1,0.5,-1.84631741e+04,0.00000000e+00,-1.92225425e+04
70,0.05,48.0,2,1.5,-5.92636425e+03,0.00000000e+00,-6.57951190e+03
71,0.05,80.0,1,3,-3.53732878e+03,0.00000000e+00,-4.25318453e+03
72,0.05,80.0,3,1,-3.47965382e+03,0.00000000e+00,-4.05038980e+03
73,0.05,80.0,1,2,-5.35661895e+03,0.00000000e+00,-6.08968108e+03
74,0.05,96.0,4,0.5,-4.34604089e+03,0.00000000e+00,-4.83541506e+03
75,0.05,48.0,1,3,-5.95941400e+03,0.00000000e+00,-6.67491593e+03
76,0.05,64.0,4,3,-9.91176519e+02,0.00000000e+00,-1.42316238e+03
77,0.05,48.0,1,1.5,-1.21164402e+04,0.00000000e+00,-1.28585951e+04
78,0.05,96.0,3,1,-2.87751765e+03,0.00000000e+00,-3.44818771e+03
79,0.05,80.0,2,3,-1.71446545e+03,0.00000000e+00,-2.33939083e+03
