rHole,N,nSection,width,pBack,pInlet,pOutlet,ApInlet,ApBack,MSerrorInlet,MSerrorBack
0.05,80.0,3,1.5,560.2896700000001,2841.49969,0.0,2839.929036373765,547.6427501825592,-0.05530608709295778,-2.309337576955962
0.05,96.0,4,2.0,449.9312329999999,1443.23706,0.0,1442.5244124126032,435.0748836609346,-0.04940280949594923,-3.414664899535612
0.05,64.0,2,1.0,661.5167900000006,7350.05914,0.0,7346.688922660678,651.3966423684187,-0.04587396274431604,-1.553607583051998
0.05,64.0,3,3.0,531.5029099999999,1918.865,0.0,1918.0837811001786,517.5764592684789,-0.04072913329016857,-2.6907040461624048
0.05,96.0,1,3.0,715.42436,3656.26121,0.0,3654.81940985819,705.8586453879243,-0.039449285453647995,-1.3551884183296468
0.05,64.0,2,3.0,625.53035,2785.99863,0.0,2785.4998834945086,613.5478577732797,-0.01790509877407564,-1.952984119316754
0.05,96.0,3,1.5,559.9922299999998,2444.04807,0.0,2443.8672308339865,546.7587998596634,-0.007399713197661887,-2.4203415004446236
0.05,80.0,4,2.0,453.02703999999994,1666.96612,0.0,1667.0608806035625,437.8231752784661,0.005684291717537923,-3.472603914094724
0.05,64.0,2,2.0,644.1917799999997,3927.28707,0.0,3927.873492991641,632.2905913286936,0.014929783066775504,-1.8822340288658923
0.05,48.0,3,1.0,572.1139800000001,6469.75987,0.0,6471.976490931781,559.6201071523556,0.03424952075902824,-2.23256324924063
0.05,80.0,2,3.0,624.9253799999999,2339.39083,0.0,2340.1931608407317,613.0520006866161,0.03428481264527926,-1.9367654456857901
0.05,48.0,4,2.0,458.7319400000001,2561.25239,0.0,2562.390673125064,443.4969869209922,0.044422700137122254,-3.435187504830107
0.05,64.0,4,2.0,455.51764000000003,2001.57183,0.0,2003.1687446911478,440.62991133733567,0.07971942929820154,-3.378737638913185
0.05,96.0,2,3.0,623.7393000000002,2041.41135,0.0,2043.2389780324966,612.5602394399805,0.0894475904260774,-1.8249732581794589
0.05,96.0,1,2.0,732.7169300000005,5178.93763,0.0,5185.161505743126,724.2834283465972,0.12003243748979386,-1.164392463411092
0.05,80.0,3,0.5,581.3909899999999,7694.82792,0.0,7705.512116470535,568.9445900168048,0.1386565397476691,-2.187629551557464
0.05,48.0,3,2.0,552.5850600000003,3428.79323,0.0,3433.8397987805015,539.5802161741854,0.14696576067099926,-2.4101780302517266
0.05,80.0,2,2.0,643.1762899999999,3253.09359,0.0,3258.464500875336,631.9770340133778,0.1648295040161764,-1.7720985706555046
0.05,64.0,3,2.0,551.9449999999997,2684.02359,0.0,2688.9841633623114,538.3876556664404,0.18447759677799275,-2.5181380350887497
0.05,80.0,3,2.0,550.6513899999998,2236.4918,0.0,2241.8292431285795,537.2097892377506,0.23808428518538954,-2.5021138913573333
0.05,96.0,2,2.0,643.0705600000001,2805.30858,0.0,2812.139856110964,631.6653048617927,0.2429209235849115,-1.8055851810165267
0.05,96.0,3,2.0,548.87781,1937.93239,0.0,1943.528263377187,536.0463462174343,0.28792343711345253,-2.3937228325703073
0.05,80.0,4,0.5,490.0497499999992,5740.42837,0.0,5757.657773673682,475.23750407169064,0.29924327479937823,-3.116809132570927
0.05,80.0,2,1.0,661.47822,5978.29289,0.0,5997.972147839254,651.2451394413365,0.32809851986964594,-1.5713100856985736
0.05,96.0,3,0.5,581.1459600000007,6476.10234,0.0,6502.5166125010865,568.6487095385464,0.40621614791886357,-2.197710159510557
0.05,48.0,4,1.0,481.01180999999997,4829.33429,0.0,4849.382410325835,466.43096276385586,0.41341594927936387,-3.1260461676353346
0.05,96.0,4,0.5,489.37417000000005,4835.41506,0.0,4858.1771362205955,474.501008805365,0.4685312120649203,-3.13448463093486
0.05,96.0,2,1.0,661.4898199999998,5074.27127,0.0,5098.802527832442,651.0941072101932,0.4811180213105931,-1.5966528762409011
0.05,64.0,3,1.0,571.6212500000001,4949.02056,0.0,4973.176283413781,559.0226763136234,0.48572023264776387,-2.2536784678317243
0.05,80.0,3,1.0,570.7359799999999,4050.3898,0.0,4073.7739042743165,558.429069301138,0.5740157609086084,-2.203844924166236
0.05,64.0,4,1.0,479.1642999999999,3700.58171,0.0,3724.7444853754255,464.9659630373667,0.6487096086804497,-3.053629317269441
0.05,80.0,4,1.0,477.97616000000016,3027.80152,0.0,3049.6615807499975,463.5169286078185,0.7168028376650729,-3.1194613399795834
0.05,96.0,3,1.0,570.6700600000004,3448.18771,0.0,3474.071388836094,557.8392494939944,0.7450531649772846,-2.300091024008177
0.05,96.0,4,1.0,476.16440999999986,2577.74826,0.0,2599.360105869041,462.0835988528829,0.8314294668231713,-3.047243222237793
