z,p,w
0.1,4.841603716282667,-6.00847
0.40101010101010104,14.66211730135224,-6.23791
0.702020202020202,24.857483926076686,-6.194
1.0030303030303032,35.945250000599955,-6.12324
1.304040404040404,46.208239792255895,-6.15266
1.605050505050505,57.11469655560888,-6.18669
1.9060606060606062,67.97458104583666,-6.14225
2.207070707070707,78.61660010285419,-6.11866
2.508080808080808,89.36274186041898,-6.123
2.809090909090909,99.85706513024724,-6.12163
3.11010101010101,110.17143721108626,-6.10914
3.411111111111111,120.78006909781965,-6.1684
3.7121212121212124,131.72313857163678,-6.19563
4.013131313131313,142.83427566535897,-6.14029
4.314141414141414,153.2872893855136,-6.13908
4.615151515151514,164.22866120660444,-6.13103
4.916161616161616,175.63009691652624,-6.16286
5.217171717171717,191.95302788003104,-5.6217
5.518181818181818,204.70070220191948,-4.27342
5.819191919191919,211.4562282841632,-3.06188
6.1202020202020195,215.34498479590545,-2.60701
6.421212121212121,220.07804059686762,-2.58711
6.722222222222221,224.31085472780939,-2.5875
7.023232323232323,228.89168766764547,-2.60581
7.324242424242424,235.04963999022684,-2.42247
7.625252525252525,239.74647919969428,-1.83085
7.926262626262626,241.57711472290242,-1.33203
8.227272727272727,242.8141376761429,-1.15072
8.528282828282828,244.8337785362139,-1.13679
8.82929292929293,246.71930483090614,-1.1456
9.130303030303029,249.22730379191339,-1.14786
9.43131313131313,251.76755815472058,-1.04034
9.732323232323232,253.34411165322376,-0.813739
10.033333333333333,254.1437060873174,-0.608887
10.334343434343435,254.34968795144349,-0.553838
10.635353535353534,255.49956473139983,-0.556549
10.9,256.2431366255252,-0.553632
11.17536231884058,256.95558488633475,-0.559752
11.45072463768116,258.70756249989034,-0.533943
11.726086956521739,259.36851529466844,-0.44587
12.001449275362319,259.783308444131,-0.339814
12.276811594202899,259.96891847554133,-0.292419
12.552173913043479,260.35654918138295,-0.288236
12.827536231884059,260.3520221074461,-0.288889
13.102898550724639,260.7356916235929,-0.287437
13.378260869565217,261.77635274482316,-0.284121
13.653623188405797,262.5159634492537,-0.259732
13.928985507246377,263.06883235378984,-0.212634
14.204347826086957,262.88095878541117,-0.173684
14.479710144927537,262.83229274059016,-0.163382
14.755072463768116,263.10561482952664,-0.164508
15.030434782608696,263.90690691634666,-0.164996
15.305797101449276,263.4938114196104,-0.165717
15.581159420289856,264.1264700022832,-0.161828
15.856521739130436,264.4348769142302,-0.140395
16.131884057971014,264.6012468814089,-0.113508
16.407246376811592,264.55937144749316,-0.101936
16.682608695652174,264.71895080376663,-0.0999149
16.957971014492756,264.7070672346824,-0.100471
17.233333333333334,264.77780276494553,-0.10076
17.508695652173913,264.9124832145664,-0.0994705
17.784057971014494,265.8908970691651,-0.094222
18.059420289855073,266.22703230897514,-0.0805501
18.334782608695654,265.8914629534072,-0.0691667
18.610144927536233,265.6905740474601,-0.0673774
18.88550724637681,265.62040440143915,-0.0672661
19.16086956521739,265.717170606839,-0.0669258
19.43623188405797,265.549102986934,-0.0675256
19.711594202898553,265.88523822674404,-0.0658304
19.98695652173913,266.38717754949073,-0.0574904
20.26231884057971,266.59938414027994,-0.048002
20.537681159420288,266.410378803417,-0.0411135
20.9,266.53826864213266,-0.0392442
21.210344827586205,266.0351975509017,-0.0394815
21.52068965517241,266.1698780005226,-0.0395363
21.831034482758618,267.1069823054477,-0.0386106
22.141379310344828,267.08151751455296,-0.0342815
22.451724137931034,267.3610643301526,-0.0271522
22.76206896551724,266.9225040425216,-0.0258075
23.072413793103447,266.6305077735957,-0.0259882
23.382758620689653,266.7312351686903,-0.0258874
23.69310344827586,266.63843015298517,-0.0263582
24.003448275862066,268.31797458355135,-0.0228787
24.313793103448276,267.71078079177323,-0.0145208
24.624137931034483,267.24053098658436,-0.00575682
24.93448275862069,267.01530905822676,-0.000556209
25.244827586206895,266.6520113747957,4.60908e-05
25.555172413793102,266.8568614704375,3.48135e-06
25.865517241379308,266.6576702172167,-2.0559e-06
26.175862068965515,266.8438461328691,5.38265e-07
26.48620689655172,267.0849128200056,1.09156e-06
26.79655172413793,266.4658354591433,-3.16674e-08
27.106896551724137,266.83818729044805,2.53606e-08
27.417241379310344,266.97569716127947,-6.95327e-08
27.72758620689655,266.65484079600617,-4.17512e-09
28.037931034482757,266.8693109237638,3.96307e-09
28.348275862068967,266.9213722740374,1.73737e-09
28.658620689655173,267.0039913733847,1.74273e-09
28.96896551724138,266.7572658438271,1.84997e-09
29.279310344827586,266.9836195406689,1.17197e-09
29.589655172413792,266.59938414027994,7.38623e-10
29.9,266.84328024862697,2.09838e-10
