Points_0,Points_1,Points_2,U_0,U_1,U_2,p
2,2.5,2.82,0.0042285,-0.000457205,-6.62519,101.22
2,2.5,2.85,0.00412443,0.000226623,-6.61189,102.316
2,2.5,2.88,0.00443177,-0.000144892,-6.63227,103.479
2,2.5,2.91,0.00444837,-0.000430643,-6.69871,104.538
2,2.5,2.94,0.00446897,-0.000717875,-6.7653,105.598
2,2.5,2.97,0.0061756,-0.000935271,-6.77349,106.634
2,2.5,3,0.00906423,-0.00118807,-6.72183,107.71
2,2.5,3.03,0.011955,-0.00144093,-6.6701,108.788
2,2.5,3.06,0.0145288,-0.00196932,-6.6378,109.867
2,2.5,3.09,0.0156502,-0.00376314,-6.69463,110.95
2,2.5,3.12,0.0188209,-0.00317458,-6.69102,111.944
2,2.5,3.15,0.0219219,-0.00362597,-6.69824,113.073
2,2.5,3.18,0.0251171,-0.00284307,-6.68426,114.119
2,2.5,3.21,0.0285508,-0.000941838,-6.64578,115.178
2,2.5,3.24,0.0323208,0.00080876,-6.61385,116.268
2,2.5,3.27,0.0355338,0.000956352,-6.61391,117.365
2,2.5,3.3,0.0381324,0.000811658,-6.61483,118.417
2,2.5,3.33,0.0408501,0.000697036,-6.6158,119.473
2,2.5,3.36,0.0438021,-0.000678822,-6.64077,120.612
2,2.5,3.39,0.0469908,-0.00217991,-6.67509,121.775
2,2.5,3.42,0.0503501,-0.00379255,-6.71743,122.975
2,2.5,3.45,0.0522483,-0.00553014,-6.70729,124.027
2,2.5,3.48,0.0531602,-0.00764208,-6.71997,125.113
2,2.5,3.51,0.0540023,-0.00907693,-6.72205,126.326
2,2.5,3.54,0.0551017,-0.0100513,-6.66147,127.324
2,2.5,3.57,0.0558636,-0.0113257,-6.60154,128.306
2,2.5,3.6,0.0572446,-0.0105439,-6.61941,129.439
2,2.5,3.63,0.0579259,-0.0101053,-6.64133,130.648
2,2.5,3.66,0.058427,-0.00941103,-6.64739,131.836
2,2.5,3.69,0.0581527,-0.00750149,-6.58946,132.843
2,2.5,3.72,0.0588095,-0.00669778,-6.6642,133.718
2,2.5,3.75,0.0594686,-0.00589694,-6.739,134.593
2,2.5,3.78,0.0601471,-0.00514722,-6.79754,135.466
2,2.5,3.81,0.0603448,-0.00437281,-6.78271,136.52
2,2.5,3.84,0.060423,-0.00358541,-6.71038,137.755
2,2.5,3.87,0.06052,-0.00281477,-6.63652,138.98
2,2.5,3.9,0.0606199,-0.00204665,-6.56243,140.204
2,2.5,3.93,0.0615018,-0.00136444,-6.59052,141.173
2,2.5,3.96,0.0587953,-0.000230721,-6.5855,142.292
2,2.5,3.99,0.0536112,0.00152695,-6.56056,143.66
2,2.5,4.02,0.0474777,0.00273929,-6.56977,144.845
2,2.5,4.05,0.0419455,0.00437066,-6.60976,145.991
2,2.5,4.08,0.0368286,0.00604623,-6.65075,147.109
2,2.5,4.11,0.0306777,0.00532765,-6.6408,148.17
2,2.5,4.14,0.0245322,0.00459784,-6.63667,149.159
2,2.5,4.17,0.0191189,0.00465747,-6.64958,150.209
2,2.5,4.2,0.0116449,0.00358029,-6.65197,151.185
2,2.5,4.23,0.00205875,0.00264152,-6.65319,152.201
2,2.5,4.26,-0.0122859,0.00324361,-6.65462,153.329
2,2.5,4.29,-0.0256348,0.00420432,-6.64285,154.417
2,2.5,4.32,-0.0378524,0.00582784,-6.60141,155.489
2,2.5,4.35,-0.0539354,0.00958074,-6.62924,156.325
2,2.5,4.38,-0.0695052,0.0126625,-6.61041,157.527
2,2.5,4.41,-0.0881133,0.0076781,-6.61117,158.613
2,2.5,4.44,-0.109191,0.00813134,-6.60121,159.7
2,2.5,4.47,-0.138461,0.00791493,-6.62251,160.965
2,2.5,4.5,-0.168262,0.00820287,-6.65212,162.278
2,2.5,4.53,-0.193867,0.00782774,-6.63375,163.248
2,2.5,4.56,-0.222212,0.00713683,-6.61835,164.256
2,2.5,4.59,-0.255184,0.00217886,-6.55558,165.521
2,2.5,4.62,-0.294371,-0.00189829,-6.58672,166.594
2,2.5,4.65,-0.333817,-0.00583041,-6.62671,167.642
2,2.5,4.68,-0.372932,-0.00976974,-6.66603,168.683
2,2.5,4.71,-0.414079,-0.0111515,-6.62196,169.807
2,2.5,4.74,-0.453535,-0.00999738,-6.52415,171.039
2,2.5,4.77,-0.491537,-0.0090409,-6.45169,172.286
2,2.5,4.8,-0.537673,-0.00839973,-6.44259,173.639
2,2.5,4.83,-0.594177,-0.00802734,-6.39947,175.069
2,2.5,4.86,-0.639579,-0.00867611,-6.36419,176.351
2,2.5,4.89,-0.675,-0.00850371,-6.30188,177.581
2,2.5,4.92,-0.712028,-0.00621269,-6.26327,178.926
2,2.5,4.95,-0.765113,-0.00313178,-6.21583,180.328
2,2.5,4.98,-0.804081,-0.00418451,-6.15639,181.839
2,2.5,5.01,-0.840402,-0.00586074,-6.08504,183.314
2,2.5,5.04,-0.878178,-0.00620318,-5.98856,184.698
2,2.5,5.07,-0.914147,-0.00524738,-5.88732,186.087
2,2.5,5.1,-0.958098,-0.00652258,-5.81117,187.499
2,2.5,5.13,-0.986174,-0.00659805,-5.72076,188.9
2,2.5,5.16,-1.0065,-0.00541463,-5.61919,190.257
2,2.5,5.19,-1.04768,-0.00454489,-5.50946,191.466
2,2.5,5.22,-1.0616,-0.0052207,-5.40251,192.64
2,2.5,5.25,-1.05926,-0.00513931,-5.30621,193.943
2,2.5,5.28,-1.03667,-0.00727342,-5.18534,195.467
2,2.5,5.31,-1.04744,-0.00927922,-5.038,196.932
2,2.5,5.34,-1.04665,-0.009297,-4.89682,198.268
2,2.5,5.37,-1.03825,-0.0080735,-4.76924,199.491
2,2.5,5.4,-1.02792,-0.00963434,-4.67995,200.612
2,2.5,5.43,-0.989397,-0.00863205,-4.56196,201.64
2,2.5,5.46,-0.951013,-0.00773054,-4.44429,202.663
2,2.5,5.49,-0.921216,-0.00812415,-4.32702,203.68
