Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude,p
0,0,19.83,0.00207306,-0.00384373,4.08068,4.08068,-1498.07
0,0,19.86,0.00346257,-0.00444414,4.11355,4.11355,-1498.87
0,0,19.89,0.00292921,-0.00272337,4.14596,4.14596,-1499.65
0,0,19.92,0.00236193,-0.0019908,4.18223,4.18223,-1500.42
0,0,19.95,0.00226721,-0.00181384,4.21634,4.21635,-1501.3
0,0,19.98,0.00381877,-0.00203291,4.24769,4.24769,-1502.08
0,0,20.01,0.00284751,-0.000586966,4.28243,4.28243,-1502.82
0,0,20.04,0.00333785,-0.000927516,4.31579,4.31579,-1503.65
0,0,20.07,0.00402255,-0.0010212,4.35305,4.35305,-1504.54
0,0,20.1,0.00298843,-0.000197329,4.38383,4.38383,-1505.24
0,0,20.13,0.00286596,0.000361851,4.41453,4.41453,-1506.01
0,0,20.16,0.00221246,0.00038014,4.4463,4.4463,-1506.88
0,0,20.19,0.00169695,0.00040696,4.48014,4.48014,-1507.81
0,0,20.22,0.00221773,0.00148713,4.5112,4.5112,-1508.63
0,0,20.25,0.00171867,0.00159657,4.54401,4.54401,-1509.52
0,0,20.28,0.00208916,0.00257078,4.57519,4.57519,-1510.34
0,0,20.31,0.00229377,0.0024456,4.60226,4.60226,-1511.24
0,0,20.34,0.000948736,0.00256295,4.62829,4.6283,-1512.02
0,0,20.37,0.00171505,0.00343144,4.65424,4.65424,-1512.83
0,0,20.4,0.00124746,0.0040716,4.67779,4.67779,-1513.68
0,0,20.43,0.00102475,0.00387797,4.70344,4.70344,-1514.6
0,0,20.46,0.000338172,0.00321182,4.72664,4.72664,-1515.48
0,0,20.49,-5.39884e-05,0.00271999,4.74782,4.74782,-1516.35
0,0,20.52,-0.000154286,0.00299687,4.76754,4.76754,-1517.19
0,0,20.55,-0.000516577,0.00392425,4.78605,4.78605,-1518.06
0,0,20.58,-0.00107132,0.00439216,4.80194,4.80194,-1518.9
0,0,20.61,-0.00115503,0.00340705,4.81389,4.81389,-1519.71
0,0,20.64,-0.00209411,0.00344285,4.83093,4.83093,-1520.57
0,0,20.67,-0.00262255,0.0035987,4.83908,4.83908,-1521.42
0,0,20.7,-0.00274213,0.00379693,4.85205,4.85205,-1522.22
0,0,20.73,-0.00319579,0.00389407,4.85868,4.85868,-1523.11
0,0,20.76,-0.00336369,0.0040538,4.8681,4.86811,-1523.92
0,0,20.79,-0.00346728,0.00396214,4.87354,4.87354,-1524.71
0,0,20.82,-0.00399424,0.00377148,4.87422,4.87422,-1525.45
0,0,20.85,-0.00438667,0.0040563,4.87697,4.87698,-1526.31
0,0,20.88,-0.00452854,0.00386128,4.886,4.88601,-1527.12
0,0,20.91,-0.00397923,0.00358288,4.88527,4.88527,-1527.97
0,0,20.94,-0.00333462,0.00325199,4.89337,4.89337,-1528.77
0,0,20.97,-0.00344277,0.00317791,4.8923,4.89231,-1529.57
0,0,21,-0.00372832,0.00303288,4.89513,4.89514,-1530.39
0,0,21.03,-0.00392723,0.00301041,4.89837,4.89837,-1531.17
0,0,21.06,-0.00384373,0.00302751,4.89302,4.89302,-1531.88
0,0,21.09,-0.00379163,0.00309283,4.8908,4.8908,-1532.79
0,0,21.12,-0.00385447,0.00314163,4.89593,4.89593,-1533.45
0,0,21.15,-0.00422509,0.00344477,4.89886,4.89886,-1534.24
0,0,21.18,-0.00454974,0.00328986,4.89754,4.89755,-1535.08
0,0,21.21,-0.00444426,0.00268772,4.89786,4.89786,-1535.85
0,0,21.24,-0.00409499,0.00225091,4.89825,4.89825,-1536.6
0,0,21.27,-0.00346359,0.00192793,4.89725,4.89725,-1537.43
0,0,21.3,-0.00248566,0.00192365,4.89587,4.89587,-1538.28
0,0,21.33,-0.00189494,0.00213009,4.89827,4.89827,-1539
0,0,21.36,-0.0012302,0.00213338,4.89378,4.89378,-1539.78
0,0,21.39,-0.000641144,0.0020247,4.90193,4.90193,-1540.57
0,0,21.42,-0.000899352,0.00214922,4.89554,4.89554,-1541.38
0,0,21.45,-0.00145492,0.00207256,4.89175,4.89175,-1542.15
0,0,21.48,-0.00167468,0.00192679,4.895,4.895,-1542.9
0,0,21.51,-0.00181518,0.00185995,4.89368,4.89368,-1543.65
0,0,21.54,-0.00177428,0.00200602,4.89223,4.89223,-1544.6
0,0,21.57,-0.00163998,0.00155504,4.89281,4.89282,-1545.53
0,0,21.6,-0.00159943,0.000817201,4.89496,4.89496,-1546.25
0,0,21.63,-0.00165132,-9.92896e-05,4.89307,4.89307,-1547
0,0,21.66,-0.00172257,-0.000537637,4.88712,4.88712,-1547.83
0,0,21.69,-0.00186521,-0.000645535,4.88677,4.88677,-1548.49
0,0,21.72,-0.00187351,-0.00046069,4.8854,4.8854,-1549.14
0,0,21.75,-0.00172792,0.000224917,4.88425,4.88425,-1549.91
0,0,21.78,-0.00162774,0.00170943,4.89459,4.89459,-1550.76
0,0,21.81,-0.00191749,0.00165491,4.89314,4.89314,-1551.59
0,0,21.84,-0.00237873,0.00133518,4.89129,4.89129,-1552.41
0,0,21.87,-0.0022382,0.000794755,4.88916,4.88916,-1553.19
0,0,21.9,-0.00146635,0.000190364,4.88457,4.88457,-1554.08
0,0,21.93,-0.000664266,-0.000163185,4.89159,4.89159,-1554.75
0,0,21.96,0.000452593,-0.0004711,4.88862,4.88862,-1555.6
0,0,21.99,0.00122569,-0.000722134,4.88573,4.88573,-1556.49
0,0,22.02,0.00149352,-0.00111634,4.8844,4.8844,-1557.19
0,0,22.05,0.00117328,-0.00137013,4.89399,4.89399,-1557.98
0,0,22.08,0.000733874,-0.00114977,4.89505,4.89505,-1558.74
0,0,22.11,0.000376126,-0.000868563,4.9042,4.9042,-1559.52
0,0,22.14,0.000589288,-0.000316894,4.89476,4.89476,-1560.26
0,0,22.17,0.000693664,7.20258e-05,4.89065,4.89065,-1560.99
0,0,22.2,0.000654777,-0.000291709,4.88849,4.88849,-1561.72
0,0,22.23,0.000430684,-0.00121494,4.89147,4.89147,-1562.73
0,0,22.26,0.000318593,-0.000648051,4.88681,4.88681,-1563.37
0,0,22.29,0.000218453,-0.00030991,4.88313,4.88313,-1564.14
0,0,22.32,5.83876e-05,0.000181979,4.88048,4.88048,-1564.88
0,0,22.35,-0.000142113,0.000581795,4.88208,4.88208,-1565.71
0,0,22.38,-0.00032078,0.000475273,4.881,4.881,-1566.72
0,0,22.41,-0.000147563,0.000399501,4.88673,4.88673,-1567.4
0,0,22.44,-3.13547e-05,0.000381102,4.88729,4.88729,-1568.15
0,0,22.47,3.74234e-05,0.000327707,4.89101,4.89101,-1568.95
0,0,22.5,0.000266756,1.8596e-06,4.89049,4.89049,-1569.71
0,0,22.53,0.000381766,-0.000629959,4.89513,4.89513,-1570.49
0,0,22.56,0.000332274,-0.00108377,4.89589,4.89589,-1571.3
0,0,22.59,5.54262e-05,-0.00111246,4.89042,4.89042,-1572.07
0,0,22.62,-0.000101365,-0.00100178,4.88854,4.88854,-1572.84
0,0,22.65,0.000124416,-0.000678762,4.88794,4.88794,-1573.56
0,0,22.68,0.000647468,-0.000840763,4.89221,4.89221,-1574.29
0,0,22.71,0.00211385,-0.000690634,4.89582,4.89582,-1575.2
0,0,22.74,0.00275781,-0.000852151,4.90097,4.90098,-1575.98
0,0,22.77,0.00214138,-0.00105255,4.8891,4.8891,-1576.82
0,0,22.8,0.00135758,-0.00111962,4.88819,4.88819,-1577.59
0,0,22.83,0.000668855,-0.000892645,4.88831,4.88831,-1578.32
0,0,22.86,0.000387043,-0.000885773,4.88332,4.88332,-1579.07
0,0,22.89,3.56174e-05,-0.000653329,4.88917,4.88917,-1579.86
0,0,22.92,-0.00029627,-0.000465216,4.89055,4.89055,-1580.65
0,0,22.95,-0.000427746,-0.000284791,4.88959,4.88959,-1581.46
0,0,22.98,-0.000422882,-0.000431409,4.88976,4.88976,-1582.28
0,0,23.01,-0.000197969,-0.000827067,4.88993,4.88993,-1583.1
0,0,23.04,-0.000136198,-0.000983435,4.89176,4.89176,-1583.85
0,0,23.07,-4.74749e-06,-0.00118124,4.89846,4.89846,-1584.65
0,0,23.1,0.000136502,-0.00121849,4.89915,4.89915,-1585.34
0,0,23.13,0.000264218,-0.00105296,4.89405,4.89405,-1586.03
0,0,23.16,0.000425587,-0.00103653,4.89558,4.89558,-1586.93
0,0,23.19,0.000454303,-0.00123899,4.89598,4.89598,-1587.67
0,0,23.22,0.000491247,-0.00138138,4.89437,4.89437,-1588.43
0,0,23.25,0.000548665,-0.00129137,4.8935,4.8935,-1589.22
0,0,23.28,0.000217272,-0.00098334,4.89587,4.89587,-1590.07
0,0,23.31,-0.000937296,-0.000768585,4.8952,4.8952,-1590.86
0,0,23.34,-0.00162679,0.000182649,4.89325,4.89325,-1591.66
0,0,23.37,-0.00213197,0.000991398,4.89121,4.89121,-1592.45
0,0,23.4,-0.00262546,0.000929169,4.89686,4.89686,-1593.23
0,0,23.43,-0.00299983,0.000365515,4.90167,4.90167,-1594.05
0,0,23.46,-0.00240577,-0.000987441,4.89688,4.89688,-1594.77
0,0,23.49,-0.00128288,-0.00195296,4.89684,4.89684,-1595.6
0,0,23.52,-0.000168201,-0.00214802,4.89988,4.89988,-1596.35
0,0,23.55,0.000636869,-0.00193896,4.90461,4.90461,-1597.12
0,0,23.58,0.000731882,-0.00202461,4.9021,4.9021,-1597.83
0,0,23.61,0.000625669,-0.00203657,4.90395,4.90395,-1598.69
0,0,23.64,0.000957602,-0.00167338,4.91358,4.91358,-1599.54
0,0,23.67,0.00137892,-0.00172528,4.91577,4.91577,-1600.35
0,0,23.7,0.00180979,-0.00187998,4.91487,4.91487,-1601.13
0,0,23.73,0.00211143,-0.00204782,4.91938,4.91938,-1601.91
0,0,23.76,0.00216621,-0.00206341,4.92436,4.92436,-1602.69
0,0,23.79,0.00236712,-0.0021669,4.93351,4.93351,-1603.48
0,0,23.82,0.00328142,-0.00232798,4.93706,4.93707,-1604.39
0,0,23.85,0.00386936,-0.00222732,4.94388,4.94388,-1605.13
0,0,23.88,0.00392616,-0.00264231,4.95218,4.95219,-1605.97
0,0,23.91,0.00417388,-0.00275861,4.96303,4.96303,-1606.83
0,0,23.94,0.00415418,-0.00258275,4.97647,4.97647,-1607.63
0,0,23.97,0.0041514,-0.00240242,4.98613,4.98613,-1608.46
0,0,24,0.00484795,-0.00213684,5.0003,5.0003,-1609.32
0,0,24.03,0.00454892,-0.00233337,5.01485,5.01485,-1610.17
0,0,24.06,0.00507123,-0.00247467,5.03228,5.03229,-1611.07
0,0,24.09,0.00530656,-0.00229826,5.05233,5.05233,-1611.92
0,0,24.12,0.00536596,-0.00325176,5.07185,5.07186,-1612.73
0,0,24.15,0.00488689,-0.00365001,5.09659,5.09659,-1613.68
0,0,24.18,0.00485416,-0.00301324,5.12161,5.12161,-1614.66
0,0,24.21,0.00397113,-0.00389621,5.14816,5.14816,-1615.64
0,0,24.24,0.00326941,-0.00352912,5.17067,5.17067,-1616.4
0,0,24.27,0.00346701,-0.00426756,5.20068,5.20069,-1617.4
0,0,24.3,0.0021919,-0.00344123,5.22856,5.22856,-1618.29
0,0,24.33,0.00255516,-0.00369327,5.26242,5.26242,-1619.33
0,0,24.36,0.00181542,-0.00296775,5.29167,5.29167,-1620.32
0,0,24.39,0.00175658,-0.00212404,5.32383,5.32383,-1621.31
0,0,24.42,0.00206511,-0.0020561,5.3606,5.3606,-1622.3
0,0,24.45,0.000205083,-0.00160114,5.39352,5.39352,-1623.26
